Premise,Implied,Support
System/Protocol Overview; Detailed Findings; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Detailed Findings; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
System/Protocol Overview; Detailed Findings; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
System/Protocol Overview; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
Scope; System/Protocol Overview; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,32
Scope; System/Protocol Overview; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
Scope; System/Protocol Overview; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
Executive Summary; System/Protocol Overview; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
Executive Summary; System/Protocol Overview; Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
Executive Summary; System/Protocol Overview; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,32
System/Protocol Overview; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,32
System/Protocol Overview; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
System/Protocol Overview; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,32
System/Protocol Overview; Methodology / Procedure; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
System/Protocol Overview; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,32
Findings Summary (Table); Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Tools & Automation,30
Findings Summary (Table); Detailed Findings; Status of Findings / Verification,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,30
Methodology / Procedure; Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Tools & Automation,30
Executive Summary; Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,30
Scope; Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Tools & Automation,30
Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,30
Methodology / Procedure; Detailed Findings; Risk Taxonomy / Terminology & References,Executive Summary; Scope; Tools & Automation,27
Scope; Detailed Findings; Risk Taxonomy / Terminology & References,Executive Summary; Methodology / Procedure; Tools & Automation,27
Scope; Findings Summary (Table); Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,27
Tools & Automation; Detailed Findings; Risk Taxonomy / Terminology & References,Executive Summary; Methodology / Procedure; Scope,27
Scope; Methodology / Procedure; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Tools & Automation,27
Detailed Findings; Risk Taxonomy / Terminology & References,Executive Summary; Methodology / Procedure; Scope; Tools & Automation,27
Executive Summary; Scope; Risk Taxonomy / Terminology & References,Detailed Findings; Methodology / Procedure; Tools & Automation,27
Findings Summary (Table); Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,27
Scope; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Tools & Automation,27
Tools & Automation; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,27
Methodology / Procedure; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Scope; Tools & Automation,27
Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Tools & Automation,27
Executive Summary; Findings Summary (Table); Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,24
Findings Summary (Table); Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,24
Findings Summary (Table); Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,24
Findings Summary (Table); Detailed Findings; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,24
Methodology / Procedure; Status of Findings / Verification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Scope; Severity Model / Risk Classification; Tools & Automation,24
Scope; Severity Model / Risk Classification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Status of Findings / Verification; Tools & Automation,24
Findings Summary (Table); Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,24
Findings Summary (Table); Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,24
Scope; Findings Summary (Table); Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,24
Tools & Automation; Findings Summary (Table); Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,24
Scope; Findings Summary (Table); Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,24
Tools & Automation; Findings Summary (Table); Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,24
Executive Summary; Findings Summary (Table); Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,24
Status of Findings / Verification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Tools & Automation,24
Findings Summary (Table); Detailed Findings; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,24
Executive Summary; Severity Model / Risk Classification; Risk Taxonomy / Terminology & References,Detailed Findings; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,24
Findings Summary (Table); Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,24
Findings Summary (Table); Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,24
Severity Model / Risk Classification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,24
Findings Summary (Table); Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,24
Methodology / Procedure; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Testing / Coverage Quality; Tools & Automation,21
Risk Taxonomy / Terminology & References; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21
Scope; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Scope; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Scope; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Testing / Coverage Quality; Tools & Automation,21
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Tools & Automation,21
Tools & Automation; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification,21
Executive Summary; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Risk Taxonomy / Terminology & References; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21
Executive Summary; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Executive Summary; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21
Tools & Automation; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,21
Detailed Findings; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Tools & Automation; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,21
Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21
Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21
