Premise,Implied,Support,Pset,Cset
Executive Summary; Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings,110,"frozenset({'Status of Findings / Verification', 'Recommendations / Remediation Guidance', 'Executive Summary'})",frozenset({'Detailed Findings'})
Tools & Automation,Detailed Findings,108,frozenset({'Tools & Automation'}),frozenset({'Detailed Findings'})
Executive Summary; Scope; Status of Findings / Verification,Detailed Findings,107,"frozenset({'Status of Findings / Verification', 'Scope', 'Executive Summary'})",frozenset({'Detailed Findings'})
Executive Summary; Tools & Automation,Detailed Findings,107,"frozenset({'Tools & Automation', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Detailed Findings; Status of Findings / Verification,Executive Summary,107,"frozenset({'Detailed Findings', 'Scope', 'Status of Findings / Verification'})",frozenset({'Executive Summary'})
Scope; Status of Findings / Verification,Detailed Findings; Executive Summary,107,"frozenset({'Scope', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Tools & Automation,Detailed Findings,105,"frozenset({'Tools & Automation', 'Methodology / Procedure', 'Executive Summary'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Tools & Automation; Detailed Findings,Executive Summary,105,"frozenset({'Detailed Findings', 'Tools & Automation', 'Methodology / Procedure'})",frozenset({'Executive Summary'})
Tools & Automation; Recommendations / Remediation Guidance,Detailed Findings,105,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Tools & Automation,Detailed Findings; Executive Summary,105,"frozenset({'Tools & Automation', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings; Executive Summary,104,"frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Tools & Automation; Recommendations / Remediation Guidance,Detailed Findings,104,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Tools & Automation; Detailed Findings,Executive Summary; Methodology / Procedure,103,"frozenset({'Detailed Findings', 'Tools & Automation', 'Scope'})","frozenset({'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; Scope; Tools & Automation,Detailed Findings; Methodology / Procedure,103,"frozenset({'Tools & Automation', 'Scope', 'Executive Summary'})","frozenset({'Detailed Findings', 'Methodology / Procedure'})"
Scope; Methodology / Procedure; Tools & Automation,Detailed Findings; Executive Summary,103,"frozenset({'Tools & Automation', 'Scope', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Tools & Automation,Detailed Findings; Executive Summary; Methodology / Procedure,103,"frozenset({'Tools & Automation', 'Scope'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
Methodology / Procedure; Tools & Automation; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary,102,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Tools & Automation; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure,100,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Scope'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Status of Findings / Verification,Detailed Findings,98,"frozenset({'Status of Findings / Verification', 'Methodology / Procedure', 'Executive Summary'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Status of Findings / Verification,Detailed Findings; Executive Summary,98,"frozenset({'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Methodology / Procedure; Detailed Findings; Status of Findings / Verification,Executive Summary,98,"frozenset({'Detailed Findings', 'Methodology / Procedure', 'Status of Findings / Verification'})",frozenset({'Executive Summary'})
Scope; Methodology / Procedure; Status of Findings / Verification,Detailed Findings; Executive Summary,96,"frozenset({'Scope', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Tools & Automation; Status of Findings / Verification,Detailed Findings,96,"frozenset({'Tools & Automation', 'Status of Findings / Verification'})",frozenset({'Detailed Findings'})
Executive Summary; Tools & Automation; Status of Findings / Verification,Detailed Findings,95,"frozenset({'Tools & Automation', 'Status of Findings / Verification', 'Executive Summary'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings; Executive Summary,95,"frozenset({'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Tools & Automation; Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings,93,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Status of Findings / Verification'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Tools & Automation; Status of Findings / Verification,Detailed Findings; Executive Summary,93,"frozenset({'Tools & Automation', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Tools & Automation; Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure,91,"frozenset({'Tools & Automation', 'Scope', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
Detailed Findings; Limitations / Disclaimers / Non-Goals,Executive Summary,85,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals'})",frozenset({'Executive Summary'})
Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,85,frozenset({'Limitations / Disclaimers / Non-Goals'}),"frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Limitations / Disclaimers / Non-Goals,Detailed Findings,85,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,84,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Testing / Coverage Quality,Detailed Findings,84,"frozenset({'Testing / Coverage Quality', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Detailed Findings; Limitations / Disclaimers / Non-Goals,Executive Summary,84,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Scope'})",frozenset({'Executive Summary'})
Detailed Findings; Testing / Coverage Quality,Executive Summary,84,"frozenset({'Detailed Findings', 'Testing / Coverage Quality'})",frozenset({'Executive Summary'})
Testing / Coverage Quality,Detailed Findings; Executive Summary,84,frozenset({'Testing / Coverage Quality'}),"frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Scope; Limitations / Disclaimers / Non-Goals,Detailed Findings,84,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope', 'Executive Summary'})",frozenset({'Detailed Findings'})
Executive Summary; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Scope,82,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings; Executive Summary,82,"frozenset({'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Scope; Testing / Coverage Quality,Detailed Findings,82,"frozenset({'Scope', 'Testing / Coverage Quality', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Detailed Findings; Testing / Coverage Quality,Executive Summary,82,"frozenset({'Detailed Findings', 'Scope', 'Testing / Coverage Quality'})",frozenset({'Executive Summary'})
Scope; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,82,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Scope'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings,82,"frozenset({'Recommendations / Remediation Guidance', 'Testing / Coverage Quality', 'Executive Summary'})",frozenset({'Detailed Findings'})
Detailed Findings; Recommendations / Remediation Guidance; Testing / Coverage Quality,Executive Summary,82,"frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})",frozenset({'Executive Summary'})
Detailed Findings; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Executive Summary; Scope,82,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Detailed Findings', 'Recommendations / Remediation Guidance'})","frozenset({'Scope', 'Executive Summary'})"
Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,82,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Scope; Testing / Coverage Quality,Detailed Findings; Executive Summary,82,"frozenset({'Scope', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings,81,"frozenset({'Status of Findings / Verification', 'Testing / Coverage Quality', 'Executive Summary'})",frozenset({'Detailed Findings'})
Detailed Findings; Status of Findings / Verification; Testing / Coverage Quality,Executive Summary,81,"frozenset({'Detailed Findings', 'Testing / Coverage Quality', 'Status of Findings / Verification'})",frozenset({'Executive Summary'})
Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Executive Summary,81,"frozenset({'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Methodology / Procedure; Detailed Findings; Testing / Coverage Quality,Executive Summary; Scope,80,"frozenset({'Detailed Findings', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Scope', 'Executive Summary'})"
Scope; Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings; Executive Summary,80,"frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Scope,80,"frozenset({'Testing / Coverage Quality', 'Methodology / Procedure', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Executive Summary; Scope,80,"frozenset({'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Scope; Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Executive Summary,80,"frozenset({'Scope', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Documentation Quality,Detailed Findings; Executive Summary; Scope,79,frozenset({'Documentation Quality'}),"frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Scope; Methodology / Procedure; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,79,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Methodology / Procedure; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,79,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Limitations / Disclaimers / Non-Goals,Detailed Findings; Scope,79,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Executive Summary; Documentation Quality,Detailed Findings; Scope,79,"frozenset({'Documentation Quality', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Scope; Detailed Findings; Documentation Quality,Executive Summary,79,"frozenset({'Documentation Quality', 'Detailed Findings', 'Scope'})",frozenset({'Executive Summary'})
Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Executive Summary,79,"frozenset({'Recommendations / Remediation Guidance', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Detailed Findings; Documentation Quality,Scope,79,"frozenset({'Documentation Quality', 'Detailed Findings', 'Executive Summary'})",frozenset({'Scope'})
Detailed Findings; Documentation Quality,Executive Summary; Scope,79,"frozenset({'Documentation Quality', 'Detailed Findings'})","frozenset({'Scope', 'Executive Summary'})"
Executive Summary; Scope; Documentation Quality,Detailed Findings,79,"frozenset({'Documentation Quality', 'Scope', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Documentation Quality,Detailed Findings; Executive Summary,79,"frozenset({'Documentation Quality', 'Scope'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Executive Summary,79,"frozenset({'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Methodology / Procedure; Detailed Findings; Limitations / Disclaimers / Non-Goals,Executive Summary; Scope,79,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure'})","frozenset({'Scope', 'Executive Summary'})"
Executive Summary; Status of Findings / Verification; Documentation Quality,Detailed Findings; Scope,78,"frozenset({'Documentation Quality', 'Status of Findings / Verification', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,78,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Scope,78,"frozenset({'Documentation Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings; Executive Summary; Scope,78,"frozenset({'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Scope; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,78,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Detailed Findings; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Executive Summary; Scope,78,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Scope', 'Executive Summary'})"
Scope; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary,78,"frozenset({'Documentation Quality', 'Scope', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Detailed Findings; Status of Findings / Verification; Documentation Quality,Executive Summary; Scope,78,"frozenset({'Documentation Quality', 'Detailed Findings', 'Status of Findings / Verification'})","frozenset({'Scope', 'Executive Summary'})"
Executive Summary; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Scope,78,"frozenset({'Status of Findings / Verification', 'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Scope; Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Executive Summary,77,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Scope'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Executive Summary; Scope,77,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,77,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Documentation Quality,Detailed Findings; Scope,77,"frozenset({'Documentation Quality', 'Methodology / Procedure', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Scope; Methodology / Procedure; Documentation Quality,Detailed Findings; Executive Summary,77,"frozenset({'Documentation Quality', 'Scope', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Scope,77,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope'})"
Methodology / Procedure; Detailed Findings; Documentation Quality,Executive Summary; Scope,77,"frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure'})","frozenset({'Scope', 'Executive Summary'})"
Detailed Findings; Recommendations / Remediation Guidance; Documentation Quality,Executive Summary; Scope,77,"frozenset({'Documentation Quality', 'Detailed Findings', 'Recommendations / Remediation Guidance'})","frozenset({'Scope', 'Executive Summary'})"
Methodology / Procedure; Documentation Quality,Detailed Findings; Executive Summary; Scope,77,"frozenset({'Documentation Quality', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Executive Summary; Scope,77,"frozenset({'Testing / Coverage Quality', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Scope,76,"frozenset({'Documentation Quality', 'Methodology / Procedure', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Executive Summary; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Methodology / Procedure; Scope,76,"frozenset({'Tools & Automation', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure'})"
Methodology / Procedure; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Executive Summary; Scope,76,"frozenset({'Tools & Automation', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Detailed Findings; Testing / Coverage Quality; Documentation Quality,Executive Summary; Scope; Status of Findings / Verification,76,"frozenset({'Documentation Quality', 'Detailed Findings', 'Testing / Coverage Quality'})","frozenset({'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Executive Summary; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Scope; Status of Findings / Verification,76,"frozenset({'Documentation Quality', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Status of Findings / Verification'})"
Scope; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Status of Findings / Verification,76,"frozenset({'Documentation Quality', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Executive Summary'})"
Recommendations / Remediation Guidance; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Scope,76,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Recommendations / Remediation Guidance; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,76,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,76,"frozenset({'Documentation Quality', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Tools & Automation; Detailed Findings; Testing / Coverage Quality,Executive Summary; Methodology / Procedure; Scope,76,"frozenset({'Detailed Findings', 'Tools & Automation', 'Testing / Coverage Quality'})","frozenset({'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Status of Findings / Verification; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Scope,76,"frozenset({'Documentation Quality', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Tools & Automation; Testing / Coverage Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,76,"frozenset({'Tools & Automation', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Scope; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Executive Summary; Methodology / Procedure,76,"frozenset({'Tools & Automation', 'Scope', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
Scope; Tools & Automation; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure,75,"frozenset({'Documentation Quality', 'Tools & Automation', 'Scope'})","frozenset({'Detailed Findings', 'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; Tools & Automation; Documentation Quality,Detailed Findings; Methodology / Procedure; Scope,75,"frozenset({'Documentation Quality', 'Tools & Automation', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure'})"
Tools & Automation; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,75,"frozenset({'Documentation Quality', 'Tools & Automation'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Methodology / Procedure; Tools & Automation; Documentation Quality,Detailed Findings; Executive Summary; Scope,75,"frozenset({'Documentation Quality', 'Tools & Automation', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Recommendations / Remediation Guidance; Documentation Quality,Detailed Findings; Executive Summary; Scope,75,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Scope', 'Executive Summary'})"
Tools & Automation; Detailed Findings; Documentation Quality,Executive Summary; Methodology / Procedure; Scope,75,"frozenset({'Documentation Quality', 'Detailed Findings', 'Tools & Automation'})","frozenset({'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,74,"frozenset({'Documentation Quality', 'Tools & Automation', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Recommendations / Remediation Guidance; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,74,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,74,"frozenset({'Documentation Quality', 'Methodology / Procedure', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Status of Findings / Verification', 'Scope', 'Executive Summary'})"
Tools & Automation; Recommendations / Remediation Guidance; Testing / Coverage Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,74,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Testing / Coverage Quality'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Tools & Automation; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,73,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
